"tempTestK1000","lnBWg","model_predFE","CI_2.5","CI_97.5","tempTestK1000_inC"
3.64335781574325,-1.04045944899566,-1.40274841593126,-2.01088128832679,-1.71295542839888,-0.677919415733356
3.19335781574325,-0.540459448995663,-0.471693396926462,-0.540163919991382,-0.303568518803691,38
3.24335781574325,-0.540459448995663,-0.534042881896374,-0.641313318980021,-0.420125811873338,33.1724413741837
3.29335781574325,-0.540459448995663,-0.596392366866286,-0.742462717968661,-0.536683104942987,28.4914674469003
3.34335781574325,-0.540459448995663,-0.658741851836199,-0.857569015207593,-0.653240398012634,23.9505016846193
3.39335781574325,-0.540459448995663,-0.721091336806111,-0.978751665270645,-0.76493039479405,19.5433551659561
3.44335781574325,-0.540459448995663,-0.783440821776023,-1.0999343153337,-0.875771992209249,15.2641984396555
3.49335781574325,-0.540459448995663,-0.845790306745936,-1.22111696539675,-0.986613589624447,11.1075357993318
3.54335781574325,-0.540459448995663,-0.908139791715848,-1.3422996154598,-1.09745518703965,7.06818173625243
3.59335781574325,-0.540459448995663,-0.97048927668576,-1.46533207950197,-1.20829678445484,3.14123935801507
3.64335781574325,-0.540459448995663,-1.03283876165567,-1.59826749120806,-1.31913838187004,-0.677919415733356
3.19335781574325,-0.0404594489956631,-0.0246808732757669,-0.112104693730467,0.0802592869694394,38
3.24335781574325,-0.0404594489956631,-0.095597343731802,-0.213254092719106,-0.0362980061002081,33.1724413741837
3.29335781574325,-0.0404594489956631,-0.166513814187838,-0.314403491707746,-0.149430153434814,28.4914674469003
3.34335781574325,-0.0404594489956631,-0.237430284643873,-0.431352642466706,-0.260271750850012,23.9505016846193
3.39335781574325,-0.0404594489956631,-0.308346755099909,-0.552535292529758,-0.371113348265211,19.5433551659561
3.44335781574325,-0.0404594489956631,-0.379263225555944,-0.673717942592809,-0.48195494568041,15.2641984396555
3.49335781574325,-0.0404594489956631,-0.450179696011979,-0.800338255155733,-0.592796543095608,11.1075357993318
3.54335781574325,-0.0404594489956631,-0.521096166468015,-0.933273666861824,-0.703638140510807,7.06818173625243
3.59335781574325,-0.0404594489956631,-0.59201263692405,-1.06620907856791,-0.814479737926005,3.14123935801507
3.64335781574325,-0.0404594489956631,-0.662929107380086,-1.19914449027401,-0.925321335341205,-0.677919415733356
3.19335781574325,0.459540551004337,0.422331650374929,0.315954532530449,0.493708164830041,38
3.24335781574325,0.459540551004337,0.34284819443277,0.21480513354181,0.367520585327897,33.1724413741837
3.29335781574325,0.459540551004337,0.263364738490612,0.11365573455317,0.244386893094025,28.4914674469003
3.34335781574325,0.459540551004337,0.183881282548454,-0.00513626972581872,0.133545295678827,23.9505016846193
3.39335781574325,0.459540551004337,0.104397826606295,-0.135344430809503,0.0227036982636275,19.5433551659561
3.44335781574325,0.459540551004337,0.0249143706641367,-0.268279842515594,-0.0881378991515707,15.2641984396555
3.49335781574325,0.459540551004337,-0.0545690852780214,-0.401215254221684,-0.198979496566769,11.1075357993318
3.54335781574325,0.459540551004337,-0.13405254122018,-0.534150665927776,-0.309821093981968,7.06818173625243
3.59335781574325,0.459540551004337,-0.213535997162338,-0.667086077633866,-0.420662691397166,3.14123935801507
3.64335781574325,0.459540551004337,-0.293019453104497,-0.800021489339958,-0.531504288812366,-0.677919415733356
3.19335781574325,0.959540551004337,0.869344174025623,0.744013758791364,0.911367466036988,38
3.24335781574325,0.959540551004337,0.781293732597342,0.642864359802725,0.785179886534845,33.1724413741837
3.29335781574325,0.959540551004337,0.69324329116906,0.529649393536729,0.658992307032701,28.4914674469003
3.34335781574325,0.959540551004337,0.605192849740779,0.396713981830639,0.534415587404479,23.9505016846193
3.39335781574325,0.959540551004337,0.517142408312497,0.263778570124547,0.416520744792466,19.5433551659561
3.44335781574325,0.959540551004337,0.429091966884217,0.130843158418457,0.305679147377268,15.2641984396555
3.49335781574325,0.959540551004337,0.341041525455935,-0.00209225328763357,0.19483754996207,11.1075357993318
3.54335781574325,0.959540551004337,0.252991084027654,-0.135027664993725,0.0839959525468706,7.06818173625243
3.59335781574325,0.959540551004337,0.164940642599373,-0.267963076699816,-0.0268456448683277,3.14123935801507
3.64335781574325,0.959540551004337,0.0768902011710907,-0.400898488405907,-0.137687242283527,-0.677919415733356
3.19335781574325,1.45954055100434,1.31635669767632,1.17207298505228,1.33418534446774,38
3.24335781574325,1.45954055100434,1.21973927076191,1.06170780617687,1.21201382270208,33.1724413741837
3.29335781574325,1.45954055100434,1.12312184384751,0.928772394470778,1.08984230093642,28.4914674469003
3.34335781574325,1.45954055100434,1.02650441693311,0.795836982764688,0.967670779170761,23.9505016846193
3.39335781574325,1.45954055100434,0.929886990018701,0.662901571058596,0.845499257405101,19.5433551659561
3.44335781574325,1.45954055100434,0.833269563104297,0.529966159352506,0.723327735639442,15.2641984396555
